ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Phone,Scanner,Service,Site1,12,Medium
Phone,OSClient,Software,Site4,12,Medium
Phone,Notebook,Service,Site1,12,Medium
Phone,Browser,Service,Site2,12,Medium
Phone,AppSystem,Software,Site1,11,Medium
Phone,IntranetHO,Network,Site4,11,Medium
Email,IntranetDC2,Functionality,Site4,11,Medium
Phone,IntranetDC2,Functionality,Site1,10,Medium
Phone,Printer,Hardware,Site2,10,Critical
Phone,IntranetHO,Functionality,Site2,10,High
Email,AppBK,Software,Site10,10,High
Phone,Printer,Service,Site1,9,High
Phone,IntranetHO,Service,Site4,9,Medium
Phone,IntranetDC2,Network,Site1,9,Critical
Phone,Browser,Software,Site26,9,Medium
Phone,IntranetHO,Functionality,Site35,9,Medium
Email,AppSystem,Software,Site22,9,Medium
Phone,AppSystem,Software,Site5,9,Medium
Phone,Printer,Service,Site4,9,Medium
Phone,Monitor,Software,Site1,9,Critical
Phone,Printer,Service,Site4,8,Medium
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,IntranetDC2,Functionality,Site2,8,Medium
Phone,IntranetHO,Network,Site1,8,Medium
Phone,AppIM,Software,Site5,8,Medium
Phone,Telecommunication,Functionality,Site1,8,High
Email,AppBK,Software,Site29,8,Medium
Phone,IntranetDC2,Service,Site3,8,Medium
Email,AppSystem,Software,Site1,7,Medium
Phone,Printer,Service,Site5,7,Medium
Phone,IntranetHO,Network,Site4,7,High
Email,Browser,Software,Site4,7,Critical
Email,AppIM,Software,Site20,7,Critical
Phone,Printer,Functionality,Site1,7,Critical
Phone,IntranetDC2,Functionality,Site2,7,Medium
Official Memo,VoiceConf,Service,Site5,6,High
Email,IntranetHO,Functionality,Site4,6,High
Phone,AppIM,Software,Site1,18,High
Phone,Browser,Software,Site35,17,Medium
Phone,Peripheral,Account,Site5,17,Medium
Phone,IntranetDC2,Functionality,Site1,17,Critical
Phone,Printer,Service,Site2,17,High
Phone,Monitor,Functionality,Site1,17,High
Email,IntranetDC2,Service,Site1,16,High
Phone,PCDesktop,Functionality,Site1,17,Critical
Email,Printer,Service,Site2,16,High
Phone,AppBK,Software,Site7,16,Medium
Email,Printer,Service,Site1,16,Critical
Phone,Printer,Functionality,Site1,16,Medium
Phone,SecSoftware,Software,Site5,16,Medium
Email,AppBK,Service,Site29,16,Medium
Phone,IntranetHO,Functionality,Site2,16,Medium
Phone,IPPhone,Telecommunication,Site1,16,Critical
Phone,AppIM,Functionality,Site1,16,Medium
Phone,PCDesktop,Hardware,Site5,16,High
Phone,IntranetDC1,Network,Site2,16,Medium
Phone,Notebook,Functionality,Site1,16,Medium
Phone,PCDesktop,Hardware,Site5,16,High
Phone,IntranetDC1,Functionality,Site1,16,Medium
Phone,IntranetDC2,Network,Site1,16,Medium
