ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Phone,IntranetDC2,Network,Site1,8,Medium
Phone,PCDesktop,Functionality,Site4,7,High
Phone,IntranetDC1,Network,Site1,7,Medium
Phone,Telecommunication,Functionality,Site4,7,High
Email,IntranetHO,Service,Site5,6,Medium
Phone,IntranetHO,Service,Site1,6,High
Phone,Printer,Service,Site4,17,Critical
Phone,IPPhone,Functionality,Site2,17,High
Phone,Printer,Service,Site5,16,Medium
Phone,IntranetDC1,Network,Site5,16,High
Phone,OSClient,Software,Site1,16,Medium
Phone,IntranetDC2,Functionality,Site2,15,Critical
Email,AppIM,Service,Site5,15,High
Phone,Printer,Hardware,Site4,15,Medium
Phone,Monitor,Functionality,Site5,15,Critical
Phone,Peripheral,Service,Site5,15,Medium
Email,IntranetDC1,Network,Site4,15,Medium
Phone,VideoConf,Telecommunication,Site2,14,High
Phone,Notebook,Service,Site2,14,High
Phone,OSClient,Software,Site1,14,Medium
Phone,Printer,Hardware,Site4,14,Critical
Phone,Printer,Service,Site4,14,High
Phone,IntranetHO,Service,Site4,14,Medium
Phone,AppSystem,Software,Site1,14,Medium
Phone,IntranetDC2,Functionality,Site1,13,Medium
Phone,Printer,Hardware,Site5,13,Medium
Email,Telecommunication,Service,Site4,11,Medium
Email,Printer,Service,Site4,11,Medium
Phone,IPPhone,Service,Site5,11,Medium
Phone,Printer,Service,Site5,11,Critical
Phone,IntranetDC1,Functionality,Site2,11,Medium
Email,VideoConf,Service,Site1,11,Medium
Email,AppIM,Software,Site4,10,Critical
Phone,AppSystem,Software,Site1,10,Medium
Phone,AppSystem,Software,Site4,10,Medium
Phone,Printer,Service,Site4,10,Medium
Phone,IntranetDC2,Service,Site2,10,Medium
Phone,Printer,Service,Site5,10,High
Phone,Printer,Service,Site5,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,Printer,Hardware,Site5,10,Medium
Phone,Infrastructure,Software,Site4,10,Medium
Phone,AppCM,Software,Site5,9,Medium
Phone,PCDesktop,Hardware,Site5,9,Critical
Phone,IntranetDC2,Network,Site2,9,Medium
Phone,AppSystem,Software,Site23,9,Medium
Phone,IntranetDC1,Network,Site5,9,Medium
Phone,Printer,Hardware,Site4,9,High
Phone,PCDesktop,Functionality,Site5,9,Medium
Phone,IntranetHO,Network,Site2,9,Medium
Phone,Infrastructure,Service,Site9,8,High
Phone,IntranetDC2,Functionality,Site2,8,Critical
Phone,IntranetDC2,Network,Site1,8,Medium
Email,IPPhone,Telecommunication,Site1,8,Medium
Phone,Monitor,Software,Site4,8,Critical
Phone,Printer,Service,Site5,8,High
Phone,IntranetHO,Network,Site4,8,Critical
Phone,AppIM,Software,Site5,8,Medium
Phone,PCDesktop,Functionality,Site5,8,Medium
Phone,PCDesktop,Hardware,Site5,8,Medium
Phone,Printer,Functionality,Site5,8,Critical
Phone,PCDesktop,Functionality,Site5,8,Critical
Phone,IntranetHO,Network,Site4,7,Medium
Email,Telecommunication,Service,Site32,7,Medium
Phone,Keyboard,Functionality,Site1,7,Medium
Phone,IntranetHO,Functionality,Site1,7,Medium
Phone,SecSoftware,Account,Site1,7,Critical
Phone,IntranetHO,Service,Site4,7,High
Phone,Infrastructure,Service,Site5,17,High
Phone,Monitor,Service,Site2,16,High
Phone,Printer,Service,Site5,15,Medium
Official Memo,PCDesktop,Functionality,Site1,15,High
Email,AppSystem,Software,Site1,15,Medium
Official Memo,Notebook,Service,Site5,15,Medium
Official Memo,IntranetHO,Service,Site1,15,High
Phone,IntranetDC2,Network,Site2,15,Medium
Official Memo,VideoConf,Telecommunication,Site5,15,High
Phone,Printer,Service,Site5,15,Medium
Phone,Printer,Service,Site5,15,Medium
Phone,Printer,Service,Site4,15,Medium
Official Memo,Printer,Service,Site4,15,Medium
Official Memo,IntranetHO,Network,Site4,15,Medium
Phone,AppSystem,Software,Site5,15,Medium
Email,VideoConf,Service,Site1,14,Medium
Phone,PCDesktop,Hardware,Site1,14,Critical
Email,AppIM,Software,Site12,14,Critical
Email,IntranetDC1,Service,Site1,13,Medium
Phone,Infrastructure,Service,Site5,13,Medium
Phone,IPPhone,Service,Site5,11,Medium
Phone,PCDesktop,Functionality,Site4,11,Critical
Phone,Telecommunication,Service,Site5,11,Medium
Phone,IntranetDC2,Functionality,Site1,10,Medium
Phone,PCDesktop,Functionality,Site5,10,Medium
Phone,AppIM,Service,Site5,10,Critical
Phone,Printer,Hardware,Site1,10,High
Phone,Monitor,Functionality,Site5,10,High
Phone,AppIM,Service,Site5,10,Medium
Email,VoiceConf,Telecommunication,Site4,10,High
Phone,Printer,Hardware,Site1,9,Medium
Phone,IntranetDC2,Service,Site2,9,High
Phone,Printer,Service,Site5,9,High
Phone,AppSystem,Software,Site1,9,Medium
Phone,Monitor,Functionality,Site2,9,Medium
Phone,Notebook,Functionality,Site5,8,Medium
Phone,IntranetHO,Network,Site4,8,Critical
Phone,Peripheral,Service,Site4,7,Critical
Phone,SecSoftware,Software,Site5,7,Medium
Email,IntranetHO,Service,Site4,17,High
Phone,IntranetDC1,Functionality,Site5,16,Medium
Email,Telecommunication,Service,Site2,16,High
Phone,Printer,Service,Site1,16,Medium
Phone,Printer,Hardware,Site1,15,Critical
Phone,Printer,Service,Site4,15,Medium
Email,Telecommunication,Account,Site5,15,High
Phone,Printer,Software,Site5,15,Medium
Phone,PCDesktop,Hardware,Site2,15,Medium
Phone,PCDesktop,Functionality,Site4,14,Medium
Phone,IntranetHO,Network,Site4,14,Critical
Phone,IntranetDC1,Network,Site5,14,Medium
Phone,AppBK,Software,Site9,14,Medium
Phone,AppIM,Software,Site4,14,Medium
Phone,Printer,Service,Site4,14,Medium
Phone,OSClient,Account,Site35,13,Medium
Email,Telecommunication,Account,Site1,13,Medium
Phone,Printer,Service,Site4,13,High
Phone,IntranetHO,Performance,Site4,13,Medium
Phone,SecSoftware,Functionality,Site1,13,Medium
Phone,Peripheral,Service,Site5,11,Medium
Phone,Monitor,Software,Site4,10,High
Phone,IntranetDC2,Network,Site2,10,Medium
Phone,PCDesktop,Service,Site4,10,Medium
Phone,Printer,Service,Site4,10,Medium
Phone,Printer,Hardware,Site4,10,Medium
Phone,PCDesktop,Hardware,Site4,10,Medium
Phone,AppBK,Software,Site9,10,High
Phone,Printer,Hardware,Site4,10,High
Phone,Printer,Hardware,Site4,9,Medium
Phone,Printer,Hardware,Site1,9,Medium
Phone,IntranetHO,Service,Site35,9,High
Phone,Browser,Performance,Site5,9,Medium
Phone,AppIM,Functionality,Site1,9,Medium
Phone,Printer,Service,Site3,9,Medium
Phone,Printer,Service,Site1,8,Medium
Email,IPPhone,Telecommunication,Site4,8,Medium
Email,AppBK,Functionality,Site5,8,Medium
Phone,PCDesktop,Hardware,Site1,8,High
Email,AppIM,Software,Site2,7,Critical
Email,PCDesktop,Hardware,Site1,7,Medium
Phone,IntranetRO,Network,Site33,17,Critical
Email,VoiceConf,Telecommunication,Site5,17,High
Phone,PCDesktop,Functionality,Site5,16,Medium
Phone,IntranetHO,Functionality,Site4,16,High
Phone,AppBK,Service,Site4,15,Medium
Phone,IntranetSO,Functionality,Site33,15,Medium
Phone,Printer,Service,Site1,14,Critical
Phone,Printer,Service,Site4,14,Medium
Phone,Printer,Service,Site5,14,Medium
Email,IntranetHO,Network,Site1,14,Medium
Phone,IntranetHO,Network,Site4,14,Medium
Phone,AppBK,Software,Site29,13,Critical
Phone,Infrastructure,Account,Site4,13,Medium
Phone,Printer,Hardware,Site1,13,Medium
Phone,Peripheral,Service,Site5,11,Medium
Phone,Infrastructure,Software,Site1,11,Medium
Email,IntranetHO,Service,Site1,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,OSClient,Software,Site4,10,High
Phone,ProcessingUnit,Service,Site1,10,High
Phone,IntranetDC1,Network,Site4,10,Critical
Phone,Printer,Service,Site4,10,High
Phone,Printer,Hardware,Site27,10,Medium
Phone,Browser,Software,Site5,10,Medium
Phone,Infrastructure,Software,Site34,10,Medium
Phone,Infrastructure,Software,Site26,10,Medium
Phone,Infrastructure,Functionality,Site35,10,High
Phone,Printer,Hardware,Site5,10,Medium
Phone,IPPhone,Telecommunication,Site1,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,Printer,Functionality,Site1,10,Medium
Phone,Printer,Performance,Site4,10,High
Phone,AppIM,Software,Site23,10,Medium
Phone,VideoConf,Service,Site4,10,Medium
Phone,Printer,Hardware,Site2,10,Medium
Phone,Monitor,Functionality,Site1,10,High
Phone,Monitor,Software,Site1,9,High
Phone,IntranetHO,Functionality,Site5,9,High
Email,AppBK,Service,Site13,9,High
Phone,Notebook,Hardware,Site4,9,High
Phone,Monitor,Functionality,Site1,8,Medium
Phone,IPPhone,Telecommunication,Site2,8,Medium
Phone,Monitor,Functionality,Site5,8,Medium
Phone,Browser,Software,Site5,8,High
Walk In,Peripheral,Hardware,Site5,8,High
Email,IntranetDC1,Service,Site4,8,High
Phone,AppIM,Software,Site2,8,Medium
Phone,IntranetDC1,Network,Site5,8,Medium
Phone,IntranetHO,Service,Site4,8,High
Phone,Printer,Hardware,Site1,7,High
Email,IntranetSO,Functionality,Site4,7,High
Phone,IntranetHO,Functionality,Site1,7,High
Phone,Browser,Functionality,Site1,16,High
Email,Notebook,Service,Site5,16,Critical
Phone,Printer,Service,Site5,16,Medium
Email,Printer,Service,Site2,15,Medium
Phone,Printer,Service,Site5,15,High
Phone,AppIM,Software,Site1,16,Medium
Phone,Peripheral,Software,Site2,15,Medium
Phone,IntranetHO,Network,Site4,15,Medium
Phone,Printer,Hardware,Site4,14,Medium
Phone,Printer,Service,Site5,14,Medium
Phone,IPPhone,Functionality,Site1,14,Medium
Phone,Printer,Service,Site1,14,Medium
Phone,AppCM,Software,Site5,14,Medium
Phone,AppIM,Software,Site2,14,Critical
Phone,AppIM,Service,Site5,14,Medium
Phone,Browser,Software,Site5,13,Medium
Phone,Printer,Functionality,Site5,13,Medium
Email,AppIM,Functionality,Site8,12,Medium
Phone,Monitor,Functionality,Site5,11,Medium
Phone,AppBK,Software,Site1,11,High
Email,IPPhone,Account,Site4,11,Medium
Phone,PCDesktop,Functionality,Site5,11,Medium
Phone,AppSystem,Software,Site2,10,High
Phone,Printer,Service,Site5,11,Medium
Email,AppIM,Software,Site1,10,Medium
Phone,AppSystem,Software,Site13,10,High
Phone,Infrastructure,Software,Site31,10,Medium
Phone,AppIM,Functionality,Site4,10,Medium
Phone,AppIM,Software,Site1,10,Medium
Phone,ProcessingUnit,Hardware,Site4,9,Medium
Phone,Printer,Performance,Site1,9,Medium
Official Memo,IntranetDC2,Network,Site1,9,Medium
Phone,IntranetHO,Functionality,Site1,9,High
Phone,IntranetDC2,Network,Site1,9,Critical
Phone,AppIM,Software,Site5,9,High
Phone,IPPhone,Telecommunication,Site4,9,Medium
Phone,IntranetHO,Network,Site4,9,Medium
Phone,IntranetSO,Network,Site8,8,Medium
Email,IPPhone,Telecommunication,Site1,8,Medium
Phone,IPPhone,Telecommunication,Site4,8,Medium
Phone,Printer,Functionality,Site2,8,Medium
Phone,Infrastructure,Functionality,Site5,8,Medium
Phone,OSServer,Software,Site5,8,Medium
Phone,Printer,Service,Site1,8,Medium
Phone,Printer,Service,Site2,8,Medium
Phone,SecSoftware,Software,Site1,8,Medium
Phone,Printer,Functionality,Site4,8,Medium
Phone,PCDesktop,Hardware,Site5,8,Medium
Phone,Printer,Service,Site4,8,High
Phone,SecSoftware,Software,Site2,7,Medium
Phone,IntranetDC2,Functionality,Site1,6,Medium
Phone,Scanner,Service,Site4,18,Critical
Official Memo,Printer,Service,Site2,17,Medium
Email,Scanner,Service,Site4,17,Medium
Phone,Browser,Functionality,Site4,16,Medium
Phone,Printer,Hardware,Site1,16,Medium
Official Memo,IntranetDC2,Network,Site1,16,Critical
Official Memo,IntranetHO,Network,Site4,16,High
Official Memo,Keyboard,Service,Site1,15,Medium
Phone,Printer,Functionality,Site1,14,High
Email,Mouse,Service,Site1,14,Medium
Official Memo,Printer,Service,Site1,14,High
Phone,Browser,Software,Site5,13,Medium
Email,IPPhone,Telecommunication,Site1,14,Medium
Official Memo,AppSystem,Service,Site5,13,High
Email,AppSystem,Software,Site1,13,Critical
Email,AppBK,Software,Site36,13,Medium
Phone,Printer,Hardware,Site2,12,High
Official Memo,IPPhone,Telecommunication,Site1,12,Critical
Official Memo,IntranetDC1,Network,Site5,12,High
Phone,IntranetHO,Network,Site4,11,Medium
Email,VideoConf,Telecommunication,Site4,11,Medium
Email,IntranetHO,Service,Site4,11,Medium
Phone,Printer,Service,Site1,10,Medium
Phone,Printer,Service,Site1,10,Medium
Phone,Printer,Service,Site1,10,Medium
Phone,Printer,Service,Site2,10,Medium
Phone,Printer,Hardware,Site2,10,Medium
Phone,AppSystem,Software,Site8,10,Medium
Phone,Printer,Service,Site4,10,Medium
Phone,AppIM,Software,Site23,10,Medium
Phone,Browser,Service,Site4,10,Medium
Phone,Printer,Service,Site4,10,High
Email,Printer,Service,Site2,10,High
Phone,AppIM,Software,Site35,10,Medium
Phone,Printer,Hardware,Site37,9,Medium
Phone,Browser,Software,Site1,9,Critical
Email,AppBK,Performance,Site25,9,Medium
Phone,AppSystem,Software,Site5,9,Medium
Phone,Printer,Service,Site4,9,Medium
Phone,IntranetHO,Network,Site5,9,High
Email,AppBK,Performance,Site16,9,High
Email,AppBK,Performance,Site5,9,High
Phone,Mouse,Functionality,Site1,9,High
Phone,Printer,Functionality,Site5,9,Medium
Email,AppBK,Performance,Site36,9,Medium
Phone,Monitor,Functionality,Site4,9,Critical
Phone,PCDesktop,Functionality,Site1,8,High
Phone,IPPhone,Telecommunication,Site5,8,Medium
Phone,Printer,Functionality,Site5,9,Critical
Phone,Monitor,Software,Site5,8,Medium
Phone,PCDesktop,Functionality,Site4,8,Medium
Phone,PCDesktop,Hardware,Site5,8,High
Phone,PCDesktop,Hardware,Site5,7,High
Phone,Printer,Hardware,Site1,7,Medium
Phone,Keyboard,Hardware,Site5,17,Medium
Email,IPPhone,Telecommunication,Site5,17,Medium
Phone,Printer,Functionality,Site2,17,Medium
Email,IntranetDC1,Network,Site5,16,Critical
Phone,Printer,Service,Site1,16,Medium
Phone,Infrastructure,Service,Site1,16,Medium
Phone,Printer,Hardware,Site2,16,High
Phone,Printer,Service,Site1,16,High
Phone,Printer,Service,Site2,16,Medium
Phone,Printer,Service,Site1,16,Medium
Email,AppBK,Software,Site31,16,Medium
Email,IPPhone,Telecommunication,Site1,15,Medium
Phone,SecSoftware,Software,Site3,15,Critical
Email,AppIM,Software,Site4,15,High
Email,AppSystem,Software,Site2,15,High
Phone,AppIM,Software,Site5,15,Medium
Email,Telecommunication,Telecommunication,Site34,14,Medium
Email,AppNB,Software,Site4,14,High
Email,AppIM,Software,Site4,13,Medium
Phone,Printer,Service,Site2,13,Critical
Email,Printer,Hardware,Site5,13,Medium
Phone,PCDesktop,Functionality,Site2,13,Medium
Email,VideoConf,Telecommunication,Site5,11,Medium
Email,IPPhone,Account,Site30,10,Medium
Phone,PCDesktop,Hardware,Site1,10,Medium
Phone,Printer,Service,Site1,10,Medium
Phone,Printer,Functionality,Site1,10,Medium
Phone,OSClient,Software,Site4,10,High
Phone,IntranetHO,Network,Site4,10,Medium
Phone,Browser,Performance,Site1,10,Medium
Phone,IntranetDC1,Functionality,Site5,10,Medium
Phone,IntranetHO,Network,Site4,10,High
Phone,Printer,Service,Site4,9,Medium
Phone,ProcessingUnit,Service,Site1,9,Critical
Phone,OSClient,Software,Site1,9,Medium
Email,AppBK,Software,Site31,9,High
Phone,Printer,Service,Site1,9,Medium
Phone,Printer,Service,Site4,9,Critical
Phone,IntranetHO,Network,Site4,9,Medium
Phone,ProcessingUnit,Service,Site4,9,Medium
Phone,Printer,Service,Site4,9,High
Email,AppBK,Functionality,Site21,9,Medium
Phone,AppIM,Performance,Site4,8,Medium
Phone,Printer,Service,Site2,8,Medium
Phone,AppIM,Software,Site4,8,Medium
Phone,Printer,Functionality,Site1,8,Medium
Phone,Infrastructure,Service,Site5,8,Medium
Phone,IntranetHO,Network,Site1,7,Medium
Phone,Monitor,Software,Site4,7,High
Phone,OSClient,Performance,Site4,7,Medium
Phone,Printer,Service,Site23,7,Medium
Phone,AppSystem,Functionality,Site5,17,Medium
Phone,Printer,Hardware,Site4,16,Medium
Phone,IntranetDC1,Service,Site5,16,High
Email,IPPhone,Telecommunication,Site3,16,Medium
Phone,Printer,Service,Site5,16,High
Email,Printer,Hardware,Site5,15,Medium
Email,IntranetDC2,Network,Site4,15,Medium
Phone,IntranetDC2,Service,Site1,15,High
Email,Printer,Hardware,Site5,15,Medium
Email,Printer,Hardware,Site1,15,Medium
Phone,Printer,Service,Site1,15,Critical
Phone,PCDesktop,Service,Site3,15,Medium
Phone,Printer,Software,Site5,14,Critical
Phone,Printer,Service,Site5,14,Medium
Email,Printer,Software,Site1,14,Medium
Phone,PCDesktop,Service,Site1,14,Critical
Phone,IPPhone,Functionality,Site5,14,High
Phone,Printer,Service,Site3,14,Medium
Email,AppIM,Software,Site4,14,Medium
Email,VoiceConf,Telecommunication,Site1,14,High
Phone,Printer,Service,Site1,14,Medium
Email,VideoConf,Telecommunication,Site4,14,High
Phone,Infrastructure,Functionality,Site1,14,Medium
Phone,Telecommunication,Functionality,Site1,13,High
Phone,AppIM,Software,Site4,13,Medium
Phone,PCDesktop,Service,Site5,13,Medium
Phone,Infrastructure,Service,Site16,13,Medium
Phone,Printer,Hardware,Site5,12,Medium
Phone,Printer,Functionality,Site1,11,Medium
Email,Peripheral,Service,Site5,11,Medium
Email,Peripheral,Service,Site5,11,Medium
Email,AppSystem,Service,Site4,11,High
Email,Peripheral,Service,Site5,11,Medium
Phone,Printer,Hardware,Site5,11,Medium
Email,IntranetDC1,Network,Site4,11,High
Phone,PCDesktop,Functionality,Site5,10,Medium
Phone,IntranetDC1,Network,Site5,10,Critical
Email,Telecommunication,Service,Site31,9,Medium
Phone,IPPhone,Functionality,Site2,9,High
Phone,IntranetHO,Network,Site4,9,High
Phone,AppSystem,Software,Site5,9,High
Phone,IntranetDC2,Network,Site1,9,Medium
Phone,Printer,Service,Site5,9,High
Phone,Browser,Software,Site4,9,Critical
Phone,Printer,Service,Site1,9,Medium
Phone,Printer,Service,Site4,9,Medium
Phone,PCDesktop,Service,Site5,8,Medium
Phone,Printer,Service,Site2,8,Medium
Phone,Printer,Service,Site1,8,Medium
Phone,Printer,Service,Site4,8,Medium
Phone,Printer,Functionality,Site1,8,High
Phone,Telecommunication,Functionality,Site2,8,Medium
Phone,Monitor,Functionality,Site1,8,High
Phone,Printer,Service,Site1,8,Medium
Phone,Printer,Service,Site5,8,High
Email,IntranetDC1,Functionality,Site5,8,High
Phone,IntranetDC1,Service,Site5,8,Medium
Phone,Printer,Service,Site2,8,Medium
Phone,IntranetDC1,Functionality,Site5,8,Medium
Phone,Notebook,Service,Site2,7,Medium
Phone,PCDesktop,Functionality,Site5,7,High
Email,AppSystem,Network,Site4,18,Medium
Phone,IntranetHO,Network,Site4,18,High
Email,Infrastructure,Software,Site5,18,Medium
Phone,AppIM,Software,Site1,18,Critical
Phone,IntranetDC2,Network,Site1,17,Medium
Phone,IntranetDC2,Network,Site5,17,Critical
Phone,AppIM,Software,Site1,16,Medium
Phone,Printer,Service,Site1,16,High
Email,IPPhone,Telecommunication,Site4,16,Medium
Phone,AppIM,Functionality,Site5,16,Medium
Email,AppIM,Software,Site1,16,Medium
Phone,IPPhone,Telecommunication,Site4,16,Medium
Phone,Telecommunication,Performance,Site1,16,High
Phone,Infrastructure,Functionality,Site4,16,High
Phone,PCDesktop,Hardware,Site1,15,Critical
Phone,PCDesktop,Hardware,Site4,15,Medium
Email,Printer,Software,Site2,15,High
Phone,Printer,Hardware,Site4,15,Critical
Phone,IntranetDC1,Functionality,Site5,15,High
Phone,Printer,Service,Site1,14,High
Phone,IntranetHO,Functionality,Site4,14,Medium
Phone,AppSystem,Software,Site2,14,Critical
Phone,Printer,Functionality,Site1,14,Critical
Phone,IntranetDC1,Functionality,Site5,14,Medium
Phone,Monitor,Software,Site2,14,High
Phone,SecSoftware,Service,Site5,14,High
Email,IntranetDC2,Software,Site1,14,High
Phone,PCDesktop,Functionality,Site4,14,Medium
Phone,AppIM,Service,Site1,14,Medium
Phone,AppSystem,Software,Site5,14,Medium
Phone,IntranetDC2,Service,Site1,13,High
Phone,IntranetDC2,Software,Site4,13,Medium
Email,VideoConf,Telecommunication,Site5,13,Medium
Phone,SecSoftware,Software,Site1,12,Critical
Official Memo,IntranetHO,Service,Site1,11,High
Email,IntranetDC1,Service,Site4,11,Medium
Phone,AppSystem,Software,Site5,11,Critical
Email,IntranetDC1,Service,Site4,11,Medium
Phone,Printer,Hardware,Site1,11,Medium
Email,IntranetDC1,Service,Site4,11,Medium
Email,IntranetDC1,Service,Site4,11,Medium
Phone,Printer,Hardware,Site4,10,High
Email,IPPhone,Telecommunication,Site30,11,High
Phone,AppBK,Software,Site21,10,Medium
Phone,Printer,Hardware,Site1,10,High
Official Memo,IntranetDC1,Service,Site1,10,High
Phone,IPPhone,Functionality,Site3,10,Medium
Phone,Printer,Functionality,Site5,10,High
Phone,Browser,Software,Site1,10,Medium
Email,AppIM,Service,Site4,9,Medium
Phone,Printer,Service,Site2,9,Critical
Phone,Printer,Service,Site1,9,High
Phone,IntranetHO,Functionality,Site3,9,Medium
Email,IntranetDC1,Service,Site4,9,High
Phone,Telecommunication,Performance,Site5,9,High
Phone,PCDesktop,Functionality,Site4,9,Medium
Phone,IntranetHO,Network,Site35,8,Medium
Email,VoiceConf,Telecommunication,Site4,17,Medium
Email,IntranetHO,Network,Site4,17,High
Email,IntranetHO,Network,Site4,17,Medium
Email,AppSystem,Software,Site5,17,Medium
Phone,Peripheral,Service,Site20,16,Medium
Phone,Printer,Functionality,Site4,16,High
Phone,AppIM,Service,Site1,15,Medium
Email,IntranetHO,Network,Site4,15,Medium
Phone,PCDesktop,Hardware,Site4,15,Medium
Phone,Printer,Hardware,Site2,15,Medium
Phone,Printer,Hardware,Site5,15,Medium
Phone,OSClient,Software,Site4,15,High
Phone,IntranetDC1,Network,Site5,15,Critical
Phone,AppSystem,Software,Site5,15,High
Email,IntranetDC2,Network,Site1,15,Critical
Email,VideoConf,Telecommunication,Site14,14,Medium
Phone,AppSystem,Functionality,Site5,15,Medium
Phone,IntranetHO,Service,Site4,14,Medium
Phone,Printer,Service,Site2,14,Critical
Email,IntranetDC2,Functionality,Site2,14,Medium
Phone,Printer,Functionality,Site2,14,Medium
Phone,Printer,Service,Site5,14,Medium
Phone,Infrastructure,Service,Site2,14,High
Phone,AppSystem,Software,Site5,14,Medium
Email,IntranetHO,Network,Site4,13,Medium
Phone,Browser,Software,Site4,13,Medium
Email,IPPhone,Telecommunication,Site2,13,Medium
Phone,Printer,Service,Site5,13,Medium
Email,IntranetHO,Network,Site5,13,High
Email,AppIM,Software,Site23,13,Medium
Phone,AppSystem,Software,Site4,12,Medium
Phone,Telecommunication,Service,Site2,11,High
Phone,Printer,Hardware,Site1,11,Medium
Phone,Printer,Hardware,Site1,11,Medium
Phone,Printer,Hardware,Site1,11,Medium
Phone,Printer,Hardware,Site2,10,Medium
Email,AppIM,Account,Site17,10,High
Phone,IPPhone,Telecommunication,Site37,10,Medium
Phone,SecSoftware,Functionality,Site2,10,Medium
Phone,Printer,Service,Site5,10,Medium
Phone,ProcessingUnit,Software,Site5,9,Medium
Phone,AppSystem,Service,Site4,9,Medium
Phone,Printer,Service,Site2,9,High
Email,PCDesktop,Functionality,Site1,9,High
Phone,IPPhone,Functionality,Site4,9,High
Phone,Printer,Hardware,Site1,9,Medium
Phone,Printer,Service,Site1,9,Medium
Phone,AppIM,Service,Site5,9,Medium
Phone,IntranetDC1,Network,Site5,9,Medium
Phone,IntranetDC1,Functionality,Site5,8,Medium
Phone,IntranetDC1,Functionality,Site5,8,Medium
Phone,PCDesktop,Functionality,Site5,7,Medium
Phone,Monitor,Functionality,Site5,7,Medium
Phone,Printer,Hardware,Site4,19,Critical
Phone,Infrastructure,Software,Site16,18,Medium
Email,IntranetHO,Network,Site5,17,Medium
Phone,Peripheral,Hardware,Site5,16,Medium
Phone,IntranetDC2,Network,Site2,15,Medium
Phone,AppIM,Software,Site5,15,High
Phone,IntranetDC2,Network,Site1,15,Medium
Phone,Peripheral,Account,Site5,15,Medium
Phone,IntranetDC2,Network,Site1,15,Medium
Phone,IntranetDC2,Network,Site2,15,Medium
Phone,IntranetDC2,Network,Site1,15,Medium
Phone,IntranetDC2,Network,Site1,15,High
Phone,IntranetDC2,Network,Site1,15,Medium
Phone,Telecommunication,Functionality,Site1,15,High
Phone,IntranetHO,Functionality,Site1,15,High
Phone,Peripheral,Hardware,Site5,15,Medium
Email,VideoConf,Telecommunication,Site13,15,Medium
Phone,AppIM,Service,Site1,14,Medium
Phone,IntranetHO,Network,Site4,14,Medium
Phone,VideoConf,Telecommunication,Site5,14,Medium
Phone,Printer,Functionality,Site5,14,High
Phone,Notebook,Functionality,Site1,14,Medium
Phone,Infrastructure,Software,Site5,14,Medium
Phone,IPPhone,Functionality,Site35,14,Medium
Phone,Printer,Service,Site1,14,Medium
Phone,Printer,Software,Site4,13,Medium
Phone,Printer,Hardware,Site5,13,Medium
Phone,PCDesktop,Service,Site4,13,Medium
Phone,IntranetHO,Network,Site1,13,High
Phone,IntranetHO,Network,Site1,13,Medium
Email,VideoConf,Telecommunication,Site1,13,Critical
Phone,Printer,Hardware,Site5,13,Medium
Phone,PCDesktop,Hardware,Site4,12,Medium
Official Memo,IntranetRO,Network,Site4,11,High
Phone,Printer,Hardware,Site5,12,Medium
Phone,Infrastructure,Software,Site1,11,Medium
Official Memo,AppSystem,Software,Site1,11,High
Email,IntranetHO,Network,Site4,11,Medium
Email,IntranetHO,Network,Site4,11,High
Official Memo,Printer,Hardware,Site5,11,High
Official Memo,IntranetDC1,Network,Site1,11,High
Phone,AppSystem,Software,Site4,11,Medium
Official Memo,IntranetDC1,Network,Site5,11,High
Official Memo,Printer,Hardware,Site5,11,High
Phone,Infrastructure,Software,Site5,10,Medium
Official Memo,IntranetDC1,Service,Site5,10,High
Phone,Peripheral,Hardware,Site5,10,High
Official Memo,Printer,Service,Site5,10,High
Phone,Browser,Functionality,Site5,10,High
Phone,Printer,Software,Site5,9,Medium
Phone,IntranetHO,Functionality,Site4,9,Medium
Phone,Printer,Functionality,Site1,9,Medium
Phone,Monitor,Functionality,Site5,9,High
Email,PCDesktop,Service,Site4,10,High
Phone,Printer,Hardware,Site2,9,Critical
Phone,ProcessingUnit,Software,Site1,9,Medium
Phone,AppIM,Software,Site2,9,Critical
Phone,PCDesktop,Functionality,Site5,9,High
Phone,Printer,Service,Site1,8,Medium
Phone,Printer,Service,Site5,8,Medium
Phone,PCDesktop,Functionality,Site1,8,Medium
Phone,IntranetHO,Network,Site1,8,Medium
Phone,AppSystem,Software,Site4,8,Medium
Phone,Notebook,Service,Site2,8,Medium
Phone,Monitor,Software,Site1,8,Medium
Phone,Monitor,Functionality,Site4,8,Medium
Email,IPPhone,Service,Site1,8,Medium
Phone,AppSystem,Software,Site1,7,High
Phone,Telecommunication,Functionality,Site1,7,High
Phone,Browser,Software,Site3,7,Medium
Phone,ProcessingUnit,Functionality,Site4,7,Medium
Phone,IntranetDC1,Network,Site4,7,Medium
Phone,Monitor,Service,Site2,7,Medium
Phone,PCDesktop,Functionality,Site1,7,Medium
Phone,Telecommunication,Service,Site1,17,Medium
Phone,Printer,Service,Site1,17,Critical
